src,dst,n_events,sum_tt,mean_tt,prob,w_invtt
MDG,MOZ,15215,1625902.16666668,106.861792091139,0.441321499013807,0.00935788161915844
THA,KHM,5752,113773.416666667,19.7798012285583,0.138435619735259,0.0505566253393988
ISR,LBN,3875,22603.4999999934,5.83316129032087,0.444431700883129,0.171433627535609
IRQ,KWT,23895,158378.166666666,6.62808816349304,0.632193031192952,0.150873068573215
OMN,ARE,10445,163396.166666656,15.6434817296942,0.605226561594623,0.0639243882710468
ITA,SVN,6180,53316.9999999999,8.62734627831713,0.137047057258172,0.115910497589887
ITA,HRV,8770,264689.083333333,30.1811953629799,0.194482636270901,0.0331332138430341
SWE,EST,5425,597390.583333335,110.118079877112,0.121552284286707,0.00908116088762138
PAN,ECU,1159,131200.583333334,113.201538682773,0.0401621734007901,0.00883380218710917
THA,VNM,1636,169691,103.723105134475,0.0393742478941035,0.0096410534442015
TTO,JAM,1602,170860.416666667,106.654442363712,0.083216456287985,0.00937607452477045
MLT,LBY,1231,160012.666666667,129.985919306797,0.790622992935132,0.00769314095967401
MDG,ZAF,2198,289315.750000001,131.626819836215,0.0637544958811927,0.00759723589192775
AGO,GAB,1296,81934.1666666668,63.2208076131688,0.57243816254417,0.0158175771198421
GHA,GNQ,1693,230481.333333334,136.137822405986,0.111506289929526,0.00734549724923491
SYR,CYP,1757,114293.166666667,65.0501802314553,0.493262212240314,0.0153727475687523
IRQ,SAU,3889,160496.416666667,41.2693280191995,0.102891763896606,0.0242310705794574
