iso3,year,pop,gdp_pc
PAN,2009,3564381,10267.0633132424
PAN,2010,3628535,10698.0717490512
PAN,2011,3693505,11761.4988389067
PAN,2012,3759256,12668.2945402358
PAN,2013,3825329,13236.8306490828
PAN,2014,3892101,13611.5490656071
PAN,2015,3960035,14089.547916943067
PAN,2016,4029086,14567.546768279033
PAN,2017,4098707,15045.545619615
PAN,2018,4167860,15375.6434854475
PAN,2019,4234700,14011.3630704138
PAN,2020,4293261,12647.0826553801
PAN,2021,4345405,14552.9401400295
PER,2003,27580490,3502.79165687646
PER,2004,27852190,3640.60299869744
PER,2005,28101180,3835.13219279722
PER,2006,28324491,4091.36268615581
PER,2007,28530699,4407.79121686416
PER,2008,28719041,4778.52642172313
PER,2009,28896811,4801.17153740507
PER,2010,29086019,5167.39259325937
PER,2011,29304086,5453.45718713631
PER,2012,29550366,5740.04346272472
PER,2013,29817919,6021.46142765232
PER,2014,30115826,6103.91864749969
PER,2015,30457600,6221.7522325155305
PER,2016,30866494,6339.58581753137
PER,2017,31324637,6457.41940254721
PER,2018,31897584,6593.14437459526
PER,2019,32449303,6212.487311090235
PER,2020,32838579,5831.83024758521
PER,2021,33155882,6547.84718181776
PHL,2003,84731835,1892.82161995051
PHL,2004,86394504,1978.34489133113
PHL,2005,88015962,2037.8776605946
PHL,2006,89508986,2110.42044781284
PHL,2007,91075184,2209.34651083329
PHL,2008,92699095,2264.9462907288
PHL,2009,94384250,2256.72554835463
PHL,2010,96337125,2373.14312064664
PHL,2011,98248614,2416.75212064542
PHL,2012,100175512,2533.74141964959
PHL,2013,102076336,2654.41506933978
PHL,2014,103767130,2776.92005909479
PHL,2015,105312992,2933.763502008593
PHL,2016,106735719,3090.606944922397
PHL,2017,108119693,3247.4503878362
PHL,2018,109465287,3410.93647976109
PHL,2019,110804683,3304.80168992261
PHL,2020,112081264,3198.66690008413
PHL,2021,113100950,3350.97587587776
PLW,2003,19659,13250.6865944432
PLW,2004,19820,13599.4436174869
PLW,2005,19819,13992.4700518965
PLW,2006,19593,14186.1538388023
PLW,2007,19302,14590.4803753503
PLW,2008,19009,14045.7297946023
PLW,2009,18709,13338.1300928439
PLW,2010,18396,13206.5122645
PLW,2011,18078,14123.1262308557
PLW,2012,17765,14609.8376964301
PLW,2013,17648,14331.3395472642
PLW,2014,17715,15015.0026129107
PLW,2015,17770,15290.541204829766
PLW,2016,17797,15566.079796748832
PLW,2017,17812,15841.6183886679
PLW,2018,17814,15642.8069323229
PLW,2019,17798,15087.898388189351
PLW,2020,17792,14532.9898440558
PLW,2021,17783,12612.2906184953
PNG,2003,6123997,1832.67870314447
PNG,2004,6328041,1821.84741071002
PNG,2005,6535905,1875.82273480514
PNG,2006,6747720,1915.2349405788
PNG,2007,6963345,2000.9726186689
PNG,2008,7183002,1934.03201558753
PNG,2009,7406438,2003.24109727039
PNG,2010,7633523,2140.50939027384
PNG,2011,7859346,2102.03192060639
PNG,2012,8081390,2139.48096660428
PNG,2013,8302698,2162.10592595591
PNG,2014,8523441,2391.3578028163
PNG,2015,8743246,2455.8679897532334
PNG,2016,8961718,2520.3781766901666
PNG,2017,9178714,2584.8883636271
PNG,2018,9394513,2518.45899317321
PNG,2019,9609010,2478.53518619807
PNG,2020,9815746,2438.61137922293
PNG,2021,10012896,2378.3716816549
POL,2003,38204570,7915.55424389704
POL,2004,38182222,8323.38773754587
POL,2005,38165445,8598.57681241557
POL,2006,38141267,9137.65850849801
POL,2007,38120560,9760.7042604352
POL,2008,38125759,10187.2017910883
POL,2009,38151603,10446.5289138524
POL,2010,38042794,10808.3975674238
POL,2011,38063255,11370.313427173
POL,2012,38063164,11542.2353368014
POL,2013,38040196,11628.2286809525
POL,2014,38011735,12093.1622787394
POL,2015,37986412,12627.323280783734
POL,2016,37970087,13161.484282828067
POL,2017,37974826,13695.6452848724
POL,2018,37974750,14551.0850277089
POL,2019,37965475,14820.6539358601
POL,2020,37515748,15090.2228440113
POL,2021,36981559,16368.6239689025
PRT,2003,10458821,18846.5411893632
PRT,2004,10483861,19137.8370898949
PRT,2005,10503330,19251.71450683
PRT,2006,10522288,19529.3122100477
PRT,2007,10542964,19979.5706280792
PRT,2008,10558177,20014.4749330004
PRT,2009,10568247,19371.1318876855
PRT,2010,10573100,19698.6836791397
PRT,2011,10557560,19389.6395896162
PRT,2012,10514844,18679.7626789594
PRT,2013,10457295,18597.7214623964
PRT,2014,10401062,18836.8967978906
PRT,2015,10358076,19345.996623125266
PRT,2016,10325452,19855.096448359935
PRT,2017,10300300,20364.1962735946
PRT,2018,10283822,20997.7745987013
PRT,2019,10286263,20388.244275636753
PRT,2020,10297081,19778.7139525722
PRT,2021,10361831,20747.6990734163
QAT,2003,744682,52255.320560255
QAT,2004,773332,59990.23422872
QAT,2005,825408,60416.7101500199
QAT,2006,972831,64676.3189868053
QAT,2007,1208595,61423.0131050382
QAT,2008,1426938,61213.7206556875
QAT,2009,1608903,60781.8017337781
QAT,2010,1616832,72333.8027430124
QAT,2011,1624761,81608.4080652473
QAT,2012,1722438,80621.7554942834
QAT,2013,1916426,76486.9151226864
QAT,2014,2151745,71756.0265797248
QAT,2015,2344557,69336.5591379411
QAT,2016,2477113,66917.0916961574
QAT,2017,2545820,64497.6242543737
QAT,2018,2580734,64410.7171628721
QAT,2019,2638657,61090.15038410025
QAT,2020,2794148,57769.5836053284
QAT,2021,2504910,65488.5460040395
ROU,2003,21574326,5410.30835796252
ROU,2004,21451748,6008.64048461485
ROU,2005,21319685,6328.09022324183
ROU,2006,21193760,6876.77841417966
ROU,2007,20882982,7483.97375820611
ROU,2008,20537875,8318.00342795388
ROU,2009,20367487,7924.87058070212
ROU,2010,20246871,7660.70667630517
ROU,2011,20147528,8044.57194920892
ROU,2012,20058035,8234.28553425194
ROU,2013,19983693,8287.95844089676
ROU,2014,19908979,8661.47397274241
ROU,2015,19815616,9143.058300403372
ROU,2016,19702267,9624.642628064337
ROU,2017,19588715,10106.2269557253
ROU,2018,19473970,10714.1701157127
ROU,2019,19371648,10784.10977379985
ROU,2020,19265250,10854.049431887
ROU,2021,19122059,11546.3224998072
RUS,2003,144648618,6370.45361328125
RUS,2004,144067316,6856.67822265625
RUS,2005,143518814,7323.38525390625
RUS,2006,143049637,7949.89697265625
RUS,2007,142805114,8640.40625
RUS,2008,142742366,9093.7001953125
RUS,2009,142785348,8381.8681640625
RUS,2010,142849468,8755.1201171875
RUS,2011,143018195,9120.8203125
RUS,2012,143378447,9464.0107421875
RUS,2013,143805638,9601.537109375
RUS,2014,144237223,9493.8125
RUS,2015,144640716,9468.846354166666
RUS,2016,145015460,9443.880208333334
RUS,2017,145293260,9418.9140625
RUS,2018,145398106,9674.787109375
RUS,2019,145453291,9653.55615234375
RUS,2020,145245148,9632.3251953125
RUS,2021,144746762,10231.318359375
SAU,2003,18786767,20765.9387688082
SAU,2004,19669480,21545.894988606
SAU,2005,20559890,21838.1915349374
SAU,2006,21459144,21616.3355772516
SAU,2007,22368313,21196.7926036633
SAU,2008,23287877,21629.8405734551
SAU,2009,24217654,20577.5453445336
SAU,2010,23978487,21830.1424272816
SAU,2011,25091867,23314.5576023168
SAU,2012,26168861,23643.0358324647
SAU,2013,27624004,23057.3494468535
SAU,2014,28309273,23404.7306039825
SAU,2015,29816382,23281.52706857857
SAU,2016,30954198,23158.323533174633
SAU,2017,30977355,23035.1199977707
SAU,2018,30196281,24393.5188306638
SAU,2019,30063799,23610.5953831059
SAU,2020,31552510,22827.671935548
SAU,2021,30784383,24922.6716948944
SDN,2003,29896035,1226.42077636719
SDN,2004,30556637,1255.67114257813
SDN,2005,31262444,1290.24438476563
SDN,2006,31992435,1336.1240234375
SDN,2007,32764135,1372.10961914063
SDN,2008,33623980,1381.62561035156
SDN,2009,34569113,1301.34729003906
SDN,2010,35414399,1311.22314453125
SDN,2011,36140806,1388.21813964844
SDN,2012,36923178,1288.25854492188
SDN,2013,37785849,1283.45922851563
SDN,2014,38823318,1307.3896484375
SDN,2015,40024431,1292.2176106770833
SDN,2016,41259892,1277.0455729166667
SDN,2017,42714306,1261.87353515625
SDN,2018,44230596,1185.94445800781
SDN,2019,45548175,1121.4046020507799
SDN,2020,46789231,1056.86474609375
SDN,2021,48066924,1009.54888916016
SEN,2003,10721176,1074.38578467686
SEN,2004,10975704,1098.20064546027
SEN,2005,11235472,1119.0505307548
SEN,2006,11500094,1118.7830430051
SEN,2007,11770344,1123.99862153285
SEN,2008,12048959,1138.66883930214
SEN,2009,12337389,1142.65317233964
SEN,2010,12635413,1153.53431121583
SEN,2011,12958897,1139.74447892639
SEN,2012,13310495,1154.05677992367
SEN,2013,13710849,1147.3859217191
SEN,2014,14152102,1180.7987108505
SEN,2015,14593331,1224.5689164871633
SEN,2016,15034521,1268.3391221238267
SEN,2017,15475002,1312.10932776049
SEN,2018,15914498,1355.09610863712
SEN,2019,16352922,1358.4437730617901
SEN,2020,16789219,1361.79143748646
SEN,2021,17220867,1414.5395109385
SGP,2003,4114826,36709.7965038255
SGP,2004,4166664,39856.6356222613
SGP,2005,4265762,41798.4880834671
SGP,2006,4401365,44159.4101820552
SGP,2007,4588599,46178.8139470199
SGP,2008,4839396,44601.5799302699
SGP,2009,4987573,43331.8746638962
SGP,2010,5076732,48752.0515441859
SGP,2011,5183688,50713.5326393594
SGP,2012,5312437,51679.352717333
SGP,2013,5399162,53298.9728558286
SGP,2014,5469724,54681.9336458253
SGP,2015,5535002,56283.05629301423
SGP,2016,5607283,57884.17894020317
SGP,2017,5612253,59485.3015873921
SGP,2018,5638676,61250.3476672302
SGP,2019,5703569,60220.0257623301
SGP,2020,5685807,59189.70385743
SGP,2021,5453566,67731.2610711717
SLB,2003,466154,1573.84348435767
SLB,2004,474611,1664.57315979072
SLB,2005,483080,1755.74082446273
SLB,2006,491594,1796.71439810674
SLB,2007,500156,1830.23321405807
